siteID,month,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,Br,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,lastDate
ME96,1,1998,40,80,90,0.014,0.011,0.007,0.115,0.037,0.502,0.194,0.491,-9,4.820,8.302,4852.099,10.490,2,35,"1998-01-06 00:00","1998-02-03 00:00"
ME96,2,1998,100,100,100,0.026,0.039,0.014,0.338,0.022,0.292,0.599,0.505,-9,4.970,7.933,8141.800,17.196,3,28,"1998-02-03 00:00","1998-03-03 00:00"
ME96,3,1998,100,100,100,0.039,0.044,0.014,0.373,0.056,1.014,0.663,0.686,-9,4.659,14.468,5345.300,9.367,3,28,"1998-03-03 00:00","1998-03-31 00:00"
ME96,4,1998,100,100,100,0.119,0.034,0.023,0.213,0.253,1.166,0.392,1.467,-9,4.563,17.118,5043.099,10.490,3,28,"1998-03-31 00:00","1998-04-28 00:00"
ME96,5,1998,60,100,70,0.058,0.032,0.014,0.233,0.083,0.433,0.413,0.634,-9,4.953,9.235,4467.700,12.903,2,35,"1998-04-28 00:00","1998-06-02 00:00"
ME96,6,1998,25,100,69,0.061,0.121,0.041,1.090,0.090,0.630,1.880,1.120,-9,4.650,18.700,9341.000,28.502,1,28,"1998-06-02 00:00","1998-06-30 00:00"
ME96,7,1998,75,100,67,0.046,0.016,0.009,0.068,0.249,1.390,0.192,2.751,-9,4.239,30.963,2121.200,5.436,3,28,"1998-06-30 00:00","1998-07-28 00:00"
ME96,8,1998,60,100,47,0.022,0.011,0.008,0.063,0.113,0.984,0.133,1.201,-9,4.499,16.980,4017.700,12.637,3,35,"1998-07-28 00:00","1998-09-01 00:00"
ME96,9,1998,25,100,17,0.101,0.030,0.021,0.154,0.190,1.260,0.280,1.530,-9,4.480,20.000,723.700,7.036,1,28,"1998-09-01 00:00","1998-09-29 00:00"
ME96,10,1998,80,80,100,0.036,0.030,0.012,0.199,0.087,1.795,0.363,1.314,-9,4.347,23.109,1797.200,3.899,2,35,"1998-09-29 00:00","1998-11-03 00:00"
ME96,11,1998,100,100,100,0.122,0.272,0.098,2.792,0.182,1.961,4.332,2.715,-9,4.246,44.498,3593.400,7.493,3,28,"1998-11-03 00:00","1998-12-01 00:00"
ME96,12,1998,75,100,11,0.097,0.078,0.032,0.704,0.299,2.773,1.039,1.947,-9,4.294,31.357,286.000,3.226,2,28,"1998-12-01 00:00","1998-12-29 00:00"
ME96,1,1999,80,100,77,0.061,0.117,0.042,1.052,0.078,0.978,1.771,1.199,-9,4.542,20.318,7370.200,16.768,3,35,"1998-12-29 00:00","1999-02-02 00:00"
ME96,2,1999,75,100,55,0.075,0.184,0.062,1.680,0.076,0.893,2.821,1.164,-9,4.635,21.978,3852.800,13.995,3,28,"1999-02-02 00:00","1999-03-02 00:00"
ME96,3,1999,75,100,84,0.216,0.154,0.052,1.231,0.128,1.141,2.040,1.303,-9,4.704,19.779,4862.200,12.192,3,28,"1999-03-02 00:00","1999-03-30 00:00"
ME96,4,1999,50,100,25,0.382,0.066,0.030,0.294,0.969,5.276,0.596,5.466,-9,3.994,64.395,156.700,0.876,2,28,"1999-03-30 00:00","1999-04-27 00:00"
ME96,5,1999,60,100,36,0.080,0.023,0.016,0.165,0.080,0.470,0.300,0.510,-9,5.030,7.200,2455.000,13.094,1,35,"1999-04-27 00:00","1999-06-01 00:00"
ME96,6,1999,75,100,72,0.136,0.051,0.133,0.160,0.395,2.453,0.351,3.072,-9,4.210,36.447,1260.600,2.680,2,28,"1999-06-01 00:00","1999-06-29 00:00"
ME96,7,1999,100,100,100,0.127,0.034,0.018,0.164,0.302,2.154,0.292,2.654,-9,4.268,33.722,1924.600,3.661,3,35,"1999-06-29 00:00","1999-08-03 00:00"
