siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,Br,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,lastDate
ME96,Annual,1998,69,96,76,0.056,0.067,0.026,0.602,0.103,0.848,1.015,1.105,-9,4.607,16.912,49730.198,128.674,28,364,"1998-01-06 00:00","1998-12-29 00:00"
ME96,Annual,1999,77,100,70,0.086,0.094,0.036,0.829,0.107,0.936,1.372,1.219,-9,4.607,18.665,48295.000,118.470,32,364,"1998-12-29 00:00","1999-12-28 00:00"
ME96,Annual,2000,85,100,90,0.059,0.062,0.031,0.561,0.116,0.853,0.941,1.065,-9,4.652,16.015,63862.700,120.599,41,371,"1999-12-28 00:00","2001-01-02 00:00"
ME96,Annual,2001,92,100,97,0.055,0.036,0.021,0.306,0.136,0.925,0.559,1.013,-9,4.633,15.099,48074.000,82.166,45,365,"2001-01-02 00:00","2002-01-02 00:00"
ME96,Annual,2002,92,100,95,0.053,0.056,0.023,0.497,0.147,0.819,0.883,0.973,-9,4.714,14.839,68288.000,110.327,45,363,"2002-01-02 00:00","2002-12-31 00:00"
ME96,Annual,2003,88,100,85,0.050,0.045,0.022,0.397,0.112,0.647,0.737,0.827,-9,4.759,12.580,43368.500,105.843,43,364,"2002-12-31 00:00","2003-12-30 00:00"
ME96,Annual,2004,87,100,84,0.054,0.034,0.017,0.284,0.216,0.912,0.519,1.248,-9,4.610,15.710,56777.800,99.372,37,364,"2003-12-30 00:00","2004-12-28 00:00"
ME96,Annual,2005,93,100,95,0.048,0.041,0.017,0.353,0.108,0.553,0.625,0.828,-9,4.796,11.630,101828.500,163.953,45,371,"2004-12-28 00:00","2006-01-03 00:00"
ME96,Annual,2006,88,100,88,0.056,0.041,0.020,0.342,0.120,0.625,0.615,0.917,-9,4.713,12.649,86453.700,148.046,43,364,"2006-01-03 00:00","2007-01-02 00:00"
ME96,Annual,2007,81,100,86,0.058,0.041,0.020,0.338,0.190,0.703,0.612,1.103,-9,4.677,13.423,55337.100,109.568,38,363,"2007-01-02 00:00","2007-12-31 00:00"
ME96,Annual,2008,81,100,84,0.052,0.041,0.017,0.352,0.094,0.597,0.630,0.729,-9,4.789,10.905,81351.901,149.019,40,365,"2007-12-31 00:00","2008-12-30 00:00"
ME96,Annual,2009,92,100,90,0.052,0.045,0.019,0.386,0.087,0.436,0.684,0.547,-9,4.968,8.691,86167.100,153.746,45,364,"2008-12-30 00:00","2009-12-29 00:00"
ME96,Annual,2010,88,100,81,0.062,0.050,0.022,0.408,0.128,0.575,0.750,0.675,-9,4.878,10.571,69862.300,139.903,38,364,"2009-12-29 00:00","2010-12-28 00:00"
ME96,Annual,2011,77,100,74,0.063,0.040,0.020,0.309,0.153,0.579,0.548,0.544,-9,5.000,8.388,55820.900,126.960,39,371,"2010-12-28 00:00","2012-01-03 00:00"
ME96,Annual,2012,81,100,83,0.041,0.034,0.019,0.290,0.462,0.550,0.527,0.463,-9,5.452,7.397,59713.400,117.577,39,363,"2012-01-03 00:00","2012-12-31 00:00"
ME96,Annual,2013,80,100,73,0.049,0.037,0.022,0.273,0.192,0.592,0.497,0.503,-9,5.083,7.877,47124.300,107.325,37,365,"2012-12-31 00:00","2013-12-31 00:00"
ME96,Annual,2014,83,100,87,0.035,0.031,0.014,0.256,0.110,0.404,0.460,0.335,-9,5.096,6.560,72817.000,135.244,40,364,"2013-12-31 00:00","2014-12-30 00:00"
ME96,Annual,2015,82,100,74,0.049,0.063,0.024,0.513,0.108,0.522,0.932,0.405,-9,5.035,9.200,47115.900,107.975,37,363,"2014-12-30 00:00","2015-12-28 00:00"
ME96,Annual,2016,87,100,89,0.054,0.060,0.027,0.482,0.131,0.459,0.880,0.390,-9,5.099,8.418,62000.100,114.656,39,372,"2015-12-28 00:00","2017-01-03 00:00"
ME96,Annual,2017,75,100,75,0.051,0.040,0.018,0.303,0.179,0.514,0.562,0.342,-9,5.039,7.382,40310.500,104.577,32,364,"2017-01-03 00:00","2018-01-02 00:00"
ME96,Annual,2018,94,100,97,0.071,0.059,0.029,0.464,0.129,0.491,0.862,0.355,-9,5.095,8.127,65710.500,120.274,46,364,"2018-01-02 00:00","2019-01-01 00:00"
ME96,Annual,2019,91,100,91,0.053,0.041,0.026,0.333,0.159,0.497,0.616,0.319,-9,5.128,6.940,69672.600,121.639,44,364,"2019-01-01 00:00","2019-12-31 00:00"
