siteID,labno,starttime,endtime,amount,type
ME96,NR2935SW,1/6/1998 2:50:00 PM,1/7/1998 5:00:00 AM,0.00, 
ME96,NR2935SW,1/7/1998 5:00:00 AM,1/8/1998 5:00:00 AM,0.90,m
ME96,NR2935SW,1/8/1998 5:00:00 AM,1/9/1998 5:00:00 AM,0.60,m
ME96,NR2935SW,1/9/1998 5:00:00 AM,1/10/1998 5:00:00 AM,0.05,m
ME96,NR2935SW,1/10/1998 5:00:00 AM,1/11/1998 5:00:00 AM,0.47,m
ME96,NR2935SW,1/11/1998 5:00:00 AM,1/12/1998 5:00:00 AM,0.03,m
ME96,NR2935SW,1/12/1998 5:00:00 AM,1/13/1998 5:00:00 AM,0.00, 
ME96,NR2935SW,1/13/1998 5:00:00 AM,1/13/1998 4:35:00 PM,0.04,m
ME96,NR3154SW,1/13/1998 4:35:00 PM,1/14/1998 5:00:00 AM,0.10,m
ME96,NR3154SW,1/14/1998 5:00:00 AM,1/15/1998 5:00:00 AM,0.00, 
ME96,NR3154SW,1/15/1998 5:00:00 AM,1/16/1998 5:00:00 AM,0.00, 
ME96,NR3154SW,1/16/1998 5:00:00 AM,1/17/1998 5:00:00 AM,0.20,m
ME96,NR3154SW,1/17/1998 5:00:00 AM,1/18/1998 5:00:00 AM,0.00, 
ME96,NR3154SW,1/18/1998 5:00:00 AM,1/19/1998 5:00:00 AM,0.00, 
ME96,NR3154SW,1/19/1998 5:00:00 AM,1/20/1998 5:00:00 AM,0.00, 
ME96,NR3154SW,1/20/1998 5:00:00 AM,1/20/1998 2:45:00 PM,0.00, 
ME96,NR3391SW,1/20/1998 2:45:00 PM,1/21/1998 5:00:00 AM,0.01,m
ME96,NR3391SW,1/21/1998 5:00:00 AM,1/22/1998 5:00:00 AM,0.04,m
ME96,NR3391SW,1/22/1998 5:00:00 AM,1/23/1998 5:00:00 AM,0.03,m
ME96,NR3391SW,1/23/1998 5:00:00 AM,1/24/1998 5:00:00 AM,0.34,m
ME96,NR3391SW,1/24/1998 5:00:00 AM,1/25/1998 5:00:00 AM,0.92,m
ME96,NR3391SW,1/25/1998 5:00:00 AM,1/26/1998 5:00:00 AM,0.13,m
ME96,NR3391SW,1/26/1998 5:00:00 AM,1/27/1998 5:00:00 AM,0.12,m
ME96,NR3391SW,1/27/1998 5:00:00 AM,1/27/1998 2:45:00 PM,0.05,m
ME96,NR3550SW,1/27/1998 2:45:00 PM,1/28/1998 5:00:00 AM,0.00, 
ME96,NR3550SW,1/28/1998 5:00:00 AM,1/29/1998 5:00:00 AM,0.00, 
ME96,NR3550SW,1/29/1998 5:00:00 AM,1/30/1998 5:00:00 AM,0.05,u
ME96,NR3550SW,1/30/1998 5:00:00 AM,1/31/1998 5:00:00 AM,0.05,u
ME96,NR3550SW,1/31/1998 5:00:00 AM,2/1/1998 5:00:00 AM,0.00, 
ME96,NR3550SW,2/1/1998 5:00:00 AM,2/2/1998 5:00:00 AM,0.00, 
ME96,NR3550SW,2/2/1998 5:00:00 AM,2/3/1998 5:00:00 AM,0.00, 
ME96,NR3550SW,2/3/1998 5:00:00 AM,2/3/1998 2:50:00 PM,0.00, 
ME96,NR3804SW,2/3/1998 2:50:00 PM,2/4/1998 5:00:00 AM,0.00, 
ME96,NR3804SW,2/4/1998 5:00:00 AM,2/5/1998 5:00:00 AM,0.00, 
ME96,NR3804SW,2/5/1998 5:00:00 AM,2/6/1998 5:00:00 AM,0.00, 
ME96,NR3804SW,2/6/1998 5:00:00 AM,2/7/1998 5:00:00 AM,0.00, 
ME96,NR3804SW,2/7/1998 5:00:00 AM,2/8/1998 5:00:00 AM,0.00, 
ME96,NR3804SW,2/8/1998 5:00:00 AM,2/9/1998 5:00:00 AM,0.00, 
ME96,NR3804SW,2/9/1998 5:00:00 AM,2/10/1998 5:00:00 AM,0.00, 
ME96,NR3804SW,2/10/1998 5:00:00 AM,2/10/1998 2:05:00 PM,0.00, 
ME96,NR4009SW,2/10/1998 2:05:00 PM,2/11/1998 5:00:00 AM,0.00, 
ME96,NR4009SW,2/11/1998 5:00:00 AM,2/12/1998 5:00:00 AM,0.00, 
ME96,NR4009SW,2/12/1998 5:00:00 AM,2/13/1998 5:00:00 AM,1.10,m
ME96,NR4009SW,2/13/1998 5:00:00 AM,2/14/1998 5:00:00 AM,0.20,m
ME96,NR4009SW,2/14/1998 5:00:00 AM,2/15/1998 5:00:00 AM,0.00, 
ME96,NR4009SW,2/15/1998 5:00:00 AM,2/16/1998 5:00:00 AM,0.00, 
ME96,NR4009SW,2/16/1998 5:00:00 AM,2/17/1998 5:00:00 AM,0.00, 
ME96,NR4009SW,2/17/1998 5:00:00 AM,2/17/1998 2:31:00 PM,0.00, 
ME96,NR4149SW,2/17/1998 2:31:00 PM,2/18/1998 5:00:00 AM,0.00, 
ME96,NR4149SW,2/18/1998 5:00:00 AM,2/19/1998 5:00:00 AM,2.55,m
ME96,NR4149SW,2/19/1998 5:00:00 AM,2/20/1998 5:00:00 AM,0.55,m
ME96,NR4149SW,2/20/1998 5:00:00 AM,2/21/1998 5:00:00 AM,0.00, 
ME96,NR4149SW,2/21/1998 5:00:00 AM,2/22/1998 5:00:00 AM,0.00, 
ME96,NR4149SW,2/22/1998 5:00:00 AM,2/23/1998 5:00:00 AM,0.00, 
ME96,NR4149SW,2/23/1998 5:00:00 AM,2/23/1998 7:27:00 PM,0.00, 
ME96,NR4370SW,2/23/1998 7:30:00 PM,2/24/1998 5:00:00 AM,0.00, 
ME96,NR4370SW,2/24/1998 5:00:00 AM,2/25/1998 5:00:00 AM,1.90,r
ME96,NR4370SW,2/25/1998 5:00:00 AM,2/26/1998 5:00:00 AM,0.47,r
ME96,NR4370SW,2/26/1998 5:00:00 AM,2/27/1998 5:00:00 AM,0.00, 
ME96,NR4370SW,2/27/1998 5:00:00 AM,2/28/1998 5:00:00 AM,0.00, 
