siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,Br,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,lastDate
ME96,Winter,1998,46,62,96,0.022,0.029,0.011,0.259,0.028,0.367,0.455,0.500,-9,4.911,8.064,12993.899,27.686,5,91,"1998-01-06 00:00","1998-03-03 00:00"
ME96,Spring,1998,85,100,88,0.074,0.037,0.017,0.271,0.136,0.887,0.486,0.953,-9,4.688,13.784,14856.099,32.760,8,91,"1998-03-03 00:00","1998-06-02 00:00"
ME96,Summer,1998,54,100,63,0.051,0.085,0.030,0.754,0.115,0.797,1.314,1.340,-9,4.542,19.886,15479.900,46.575,7,91,"1998-06-02 00:00","1998-09-01 00:00"
ME96,Fall,1998,69,92,68,0.094,0.174,0.064,1.740,0.154,1.843,2.720,2.169,-9,4.294,35.561,6114.300,18.428,6,91,"1998-09-01 00:00","1998-12-01 00:00"
ME96,Winter,1999,77,100,62,0.067,0.141,0.049,1.276,0.081,0.977,2.143,1.199,-9,4.568,21.113,11509.000,33.990,8,91,"1998-12-01 00:00","1999-03-02 00:00"
ME96,Spring,1999,62,100,58,0.177,0.113,0.041,0.890,0.125,0.993,1.485,1.118,-9,4.751,16.549,7473.900,26.162,6,91,"1999-03-02 00:00","1999-06-01 00:00"
ME96,Summer,1999,92,100,94,0.100,0.040,0.037,0.218,0.295,1.866,0.411,2.647,-9,4.261,32.502,7160.200,12.716,9,91,"1999-06-01 00:00","1999-08-31 00:00"
ME96,Fall,1999,69,100,67,0.053,0.068,0.023,0.627,0.051,0.500,1.044,0.764,-9,4.821,12.321,18362.400,42.494,8,91,"1999-08-31 00:00","1999-11-30 00:00"
ME96,Winter,2000,69,100,71,0.063,0.121,0.039,1.273,0.048,0.908,1.890,0.813,-9,4.702,18.108,9835.800,22.007,6,91,"1999-11-30 00:00","2000-02-29 00:00"
ME96,Spring,2000,85,100,94,0.077,0.070,0.031,0.583,0.157,1.078,0.991,1.155,-9,4.612,17.535,21586.800,35.307,11,91,"2000-02-29 00:00","2000-05-30 00:00"
ME96,Summer,2000,85,100,87,0.065,0.034,0.043,0.247,0.183,0.872,0.435,1.294,-9,4.659,15.138,13253.500,26.871,11,91,"2000-05-30 00:00","2000-08-29 00:00"
ME96,Fall,2000,100,100,100,0.032,0.023,0.013,0.201,0.083,0.772,0.357,1.019,-9,4.603,14.209,15361.200,30.037,12,91,"2000-08-29 00:00","2000-11-28 00:00"
ME96,Winter,2001,100,100,100,0.060,0.099,0.036,0.960,0.056,0.806,1.653,0.923,-9,4.671,17.902,12120.800,20.866,11,91,"2000-11-28 00:00","2001-02-27 00:00"
ME96,Spring,2001,100,100,100,0.058,0.030,0.014,0.262,0.080,0.482,0.463,0.598,-9,4.881,9.146,14187.100,27.254,13,91,"2001-02-27 00:00","2001-05-29 00:00"
ME96,Summer,2001,77,100,90,0.062,0.034,0.034,0.271,0.203,0.836,0.517,1.516,-9,4.562,17.474,12388.000,20.445,9,91,"2001-05-29 00:00","2001-08-28 00:00"
ME96,Fall,2001,92,100,98,0.053,0.048,0.024,0.424,0.154,1.042,0.779,0.992,-9,4.631,16.189,12808.100,19.050,12,91,"2001-08-28 00:00","2001-11-27 00:00"
