siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,Br,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,lastDate
ME96,WaterY,1998,48,73,75,0.050,0.050,0.019,0.429,0.095,0.700,0.754,0.952,-9,4.680,14.169,44053.598,114.056,21,364,"1998-01-06 00:00","1998-09-29 00:00"
ME96,WaterY,1999,81,98,77,0.087,0.102,0.039,0.902,0.114,1.043,1.502,1.351,-9,4.551,20.641,45949.700,106.738,32,364,"1998-09-29 00:00","1999-09-28 00:00"
ME96,WaterY,2000,77,100,77,0.069,0.070,0.035,0.641,0.137,1.012,1.027,1.162,-9,4.616,17.567,53054.100,112.023,36,371,"1999-09-28 00:00","2000-10-03 00:00"
ME96,WaterY,2001,94,100,98,0.051,0.045,0.023,0.412,0.104,0.677,0.731,0.953,-9,4.697,13.929,56386.400,100.481,46,364,"2000-10-03 00:00","2001-10-02 00:00"
ME96,WaterY,2002,90,100,94,0.056,0.050,0.022,0.439,0.169,1.029,0.781,1.079,-9,4.637,16.521,60498.500,98.808,44,364,"2001-10-02 00:00","2002-10-01 00:00"
ME96,WaterY,2003,94,100,93,0.044,0.039,0.017,0.340,0.118,0.690,0.620,0.833,-9,4.739,12.484,56269.100,95.798,45,364,"2002-10-01 00:00","2003-09-30 00:00"
ME96,WaterY,2004,88,100,89,0.055,0.048,0.022,0.410,0.187,0.794,0.755,1.124,-9,4.672,14.956,53761.100,112.999,40,364,"2003-09-30 00:00","2004-09-28 00:00"
ME96,WaterY,2005,88,100,87,0.056,0.046,0.020,0.379,0.147,0.741,0.686,1.088,-9,4.663,14.781,66375.200,118.114,41,364,"2004-09-28 00:00","2005-09-27 00:00"
ME96,WaterY,2006,91,100,92,0.048,0.034,0.017,0.295,0.094,0.499,0.523,0.751,-9,4.817,10.539,109194.400,177.640,44,371,"2005-09-27 00:00","2006-10-03 00:00"
ME96,WaterY,2007,85,100,92,0.060,0.047,0.022,0.394,0.178,0.726,0.710,1.086,-9,4.666,13.899,62344.000,116.123,40,364,"2006-10-03 00:00","2007-10-02 00:00"
ME96,WaterY,2008,79,100,85,0.051,0.041,0.017,0.354,0.098,0.571,0.629,0.748,-9,4.794,10.838,85663.001,150.950,39,364,"2007-10-02 00:00","2008-09-30 00:00"
ME96,WaterY,2009,90,100,90,0.044,0.033,0.015,0.281,0.093,0.484,0.504,0.557,-9,4.921,8.490,78157.300,142.138,44,364,"2008-09-30 00:00","2009-09-29 00:00"
ME96,WaterY,2010,85,100,74,0.073,0.053,0.024,0.441,0.137,0.613,0.798,0.730,-9,4.852,11.211,65282.900,141.021,36,364,"2009-09-29 00:00","2010-09-28 00:00"
ME96,WaterY,2011,84,100,79,0.066,0.059,0.025,0.476,0.135,0.545,0.851,0.562,-9,5.008,9.425,61489.000,131.380,43,364,"2010-09-28 00:00","2011-09-27 00:00"
ME96,WaterY,2012,81,100,85,0.039,0.029,0.017,0.247,0.414,0.517,0.447,0.437,-9,5.416,6.899,70063.200,129.159,40,372,"2011-09-27 00:00","2012-10-03 00:00"
ME96,WaterY,2013,79,100,77,0.044,0.034,0.020,0.256,0.171,0.488,0.471,0.426,-9,5.162,6.807,49497.800,111.186,36,363,"2012-10-03 00:00","2013-10-01 00:00"
ME96,WaterY,2014,76,100,73,0.043,0.030,0.015,0.238,0.136,0.532,0.428,0.401,-9,5.028,7.356,53131.000,118.759,36,363,"2013-10-01 00:00","2014-09-29 00:00"
ME96,WaterY,2015,86,100,80,0.042,0.053,0.021,0.453,0.112,0.536,0.820,0.421,-9,5.004,9.113,50119.400,108.712,40,365,"2014-09-29 00:00","2015-09-29 00:00"
ME96,WaterY,2016,85,100,85,0.052,0.058,0.026,0.468,0.123,0.429,0.851,0.362,-9,5.131,7.958,58394.300,111.785,37,364,"2015-09-29 00:00","2016-09-27 00:00"
ME96,WaterY,2017,83,100,93,0.048,0.048,0.020,0.369,0.123,0.438,0.678,0.336,-9,5.077,7.550,59890.200,116.998,39,371,"2016-09-27 00:00","2017-10-03 00:00"
ME96,WaterY,2018,85,100,78,0.083,0.058,0.027,0.442,0.187,0.597,0.811,0.404,-9,5.042,8.630,43929.700,106.074,38,364,"2017-10-03 00:00","2018-10-02 00:00"
